,rand_layer,pearson,ssim,spearman,action
180,1,0.984869612029085,0.9998428916055662,0.9987957747168574,
181,2,0.938865060283865,0.9902901975167108,0.993845482587401,
182,3,0.8003833303308605,0.970045695696831,0.8985954133773997,
183,4,0.56376514001461,0.8866510098572103,0.6130970198942971,
184,5,0.21404646645456976,0.6708603708349219,0.31408882485691336,
185,1,0.9793997189102562,0.9998730999106489,0.9979882403759015,
186,2,0.9458776621255973,0.990427790230723,0.9936430740031199,
187,3,0.8128758875441204,0.963577293465065,0.886378363141017,
188,4,0.5624266208677882,0.8763394414974596,0.6176487243859216,
189,5,0.2489588890828152,0.6593424338426386,0.2946335994379127,
190,1,0.9822952968368897,0.9998978650088349,0.9978892404087858,
191,2,0.9308932473832752,0.9957168012166365,0.9933750420140833,
192,3,0.8208320467610557,0.97794366226773,0.8863702494637362,
193,4,0.5917727050597172,0.8686552572247818,0.62893906180099,
194,5,0.30975233631491916,0.6620320369409922,0.31897534400416094,
195,1,0.9867064091767342,0.9998561228851525,0.9980309825902961,
196,2,0.947581604845315,0.9934762264756137,0.994179092653384,
197,3,0.8313703152135721,0.9802254560775777,0.8927643658652749,
198,4,0.5936653149677631,0.8679720131435359,0.63407643136499,
199,5,0.28214970277741924,0.6594041039889734,0.3227177950549931,
200,1,0.9850313762636642,0.9998450150158034,0.9984429322163262,
201,2,0.9450491423893091,0.9937703973389226,0.9951149761452888,
202,3,0.8384440179885697,0.9783329155570991,0.8990823130889222,
203,4,0.5858768134390873,0.8815829616266493,0.6398758195562876,
204,5,0.2739320719890209,0.6585065213169945,0.30528011676671357,
205,1,0.9880923259038039,0.9998937365186339,0.9984463748325867,
206,2,0.9409274483579297,0.9925887427605695,0.994160499202941,
207,3,0.8192789779138022,0.9749602593582695,0.8816373659092072,
208,4,0.5866965221094684,0.877265213245383,0.625666714787631,
209,5,0.3118999985848057,0.6562343578590468,0.3172793844766215,
210,1,0.9888458842741132,0.9997872782405992,0.9985713411080112,
211,2,0.9419786671555005,0.9910688040479229,0.9942402090890595,
212,3,0.8217739464601661,0.9700498826330879,0.877712441294931,
213,4,0.5609189653641287,0.878798665411647,0.6111253404586111,
214,5,0.27299462539489894,0.7112844338466934,0.2977140505413709,
215,1,0.985556884323982,0.9998178491237397,0.9976065286621837,
216,2,0.9526896112364667,0.9899185648261323,0.995062518449721,
217,3,0.8264345559756707,0.9713318044045759,0.8865905755860233,
218,4,0.5832930542094302,0.8721395953611945,0.6107508842492883,
219,5,0.28931501422475875,0.7163624503179808,0.29389953867491664,
220,1,0.9902915090915472,0.9998199158463864,0.9969114111971206,
221,2,0.9560475108185116,0.988613614330926,0.9954966933354775,
222,3,0.8182216170893939,0.9749135171420356,0.8893954249290956,
223,4,0.5650280991176919,0.8883877456582321,0.6259196322499899,
224,5,0.2884911266917555,0.7021632434035703,0.3126032726634083,
225,1,0.983214833339046,0.9998574965877489,0.9988902085270466,
226,2,0.9460483050761659,0.9891538105189206,0.9955383676133583,
227,3,0.8109316621633949,0.9751044659428871,0.9008979580844664,
228,4,0.557243469698536,0.8763693677166803,0.5997139660199544,
229,5,0.281880453334501,0.7039565403656247,0.31361741039075686,
230,1,0.9891131205334636,0.9998329771339686,0.9980877993610009,
231,2,0.9519899156784075,0.988230339439855,0.9952470524927379,
232,3,0.8220718141561554,0.9710734185498306,0.8810727050522729,
233,4,0.5571339983815923,0.8684624168179124,0.6074688212283096,
234,5,0.26039343763162415,0.6515756533537892,0.2915940896904372,
235,1,0.9846959619832043,0.9997422401392855,0.9971760305110048,
236,2,0.9617996922038752,0.9901238718976415,0.9963638930988186,
237,3,0.8180730175376265,0.9714952335873681,0.8894798963804265,
238,4,0.5699292975061386,0.8718503559635284,0.6068189191037655,
239,5,0.28361752342964786,0.6682366555545044,0.2864061354921827,
240,1,0.9896737953159862,0.9997343973925338,0.9984933871750169,
241,2,0.9566868686913428,0.9891884447540029,0.9966564301484744,
242,3,0.8065883176956533,0.9726289431665336,0.8862974753364936,
243,4,0.5552502384770437,0.8825547649277506,0.6143549007507645,
244,5,0.28808916838173726,0.6634234344718396,0.2668798053072674,
245,1,0.989122534395833,0.9997373874253371,0.9983299132002793,
246,2,0.9561061557666868,0.9833759021319112,0.9956125494447625,
247,3,0.8249244118064376,0.9699699683973058,0.8921333406154861,
248,4,0.5208279270682472,0.8741852952953924,0.615845107376573,
249,5,0.29048064521793904,0.6508497678841023,0.30375955204709126,
250,1,0.9879797730689899,0.9997317018595849,0.9988984419570646,
251,2,0.949827024316542,0.9940851542951114,0.9958826191234534,
252,3,0.8319144639314455,0.9652636111113599,0.8724646119596849,
253,4,0.6106342691287056,0.881797535779022,0.6323738739919782,
254,5,0.3275491904813551,0.6586181301459776,0.3051565060047758,
255,1,0.9850060523210313,0.9997820164776446,0.9980674278941902,
256,2,0.9370022508923898,0.9859430488407306,0.9957517469807193,
257,3,0.8120749173352328,0.9729241418819882,0.8834856303513038,
258,4,0.5678754901068912,0.874373067415444,0.639442245999626,
259,5,0.28153659352830784,0.6683082311788757,0.31981145683614876,
260,1,0.9813578951630151,0.9998136458713525,0.9980162797135176,
261,2,0.9405064879565183,0.9833038506226375,0.995481175341608,
262,3,0.7955200190936429,0.9711935693991839,0.8864944410209715,
263,4,0.5898677821081708,0.8841080273191221,0.6490040112891757,
264,5,0.33149630505594796,0.6599761939357657,0.32142833989261677,
265,1,0.983924688927559,0.9997577035862033,0.9993231585190405,
266,2,0.9503932491283504,0.9854009897296048,0.9955382350750313,
267,3,0.7982995885225088,0.9708014740081846,0.8990098606430289,
268,4,0.5415215769247939,0.863092876237247,0.6237388659088111,
269,5,0.339436190659127,0.6667411075391522,0.3273219293870431,
270,1,0.9878859692670143,0.9998617453232631,0.9974052576227833,
271,2,0.9396267202419291,0.9820961878708799,0.9949452780492664,
272,3,0.834627856494312,0.9710296096626153,0.8888236738145375,
273,4,0.5323807714862425,0.9135596413690166,0.625986666832552,
274,5,0.32271275403402444,0.6595423729676978,0.32434482312904106,
