state,importance
299,3.5047424
382,3.496303
1189,3.488342
302,3.4862506
1128,3.4815869
604,3.4778309
1097,3.4721055
378,3.4662492
1062,3.4649775
232,3.4646055
243,3.4611366
376,3.4602431
1116,3.450234
1198,3.4491943
374,3.4491453
280,3.4463148
290,3.438198
360,3.4377502
279,3.43754785
228,3.4361122
1119,3.4168755
231,3.41593856
1193,3.41092193
269,3.4092224
362,3.39993873
278,3.39811184
276,3.3900407
377,3.3872954
271,3.38621054
1196,3.3838577
1204,3.3824642
1203,3.3812907
294,3.3804352
1105,3.3744795
277,3.372652
1209,3.3648286
365,3.3642153
235,3.3630599
229,3.3567411
237,3.3529948
1231,3.3492205
1195,3.3481991
1108,3.3438176
1229,3.3278248
1053,3.3274904
1205,3.3268217
1192,3.3265649
1238,3.3174126
241,3.3146521
1096,3.31254377
1234,3.3072992
1101,3.30673367
293,3.2938201
1099,3.2925296
364,3.2903793
289,3.2903696
240,3.2858526
287,3.285807
270,3.285324
1106,3.28133066
1211,3.2798037
242,3.2783922
1091,3.27735935
226,3.2754996
283,3.2749454
1107,3.273825
227,3.27328475
1104,3.273027
1202,3.2721207
412,3.2713533
1197,3.2632666
608,3.256385
924,3.2562252
1207,3.2547912
200,3.2537675
1069,3.24603174
1092,3.24295215
239,3.242863
291,3.2413264
1045,3.2390409
245,3.2312654
1027,3.2301117
234,3.22809824
201,3.22497844
1191,3.2247939
206,3.2239125
213,3.221225
223,3.2202938
1188,3.21988527
236,3.21968356
1060,3.21661344
1103,3.21427805
282,3.21346264
1110,3.2127948
1127,3.2077163
1100,3.206014
207,3.2050509
1098,3.2049774
285,3.2032082
363,3.2028475
208,3.2023325
1237,3.198156
202,3.1954309
411,3.1939039
1022,3.192179
609,3.1906203
288,3.1902752
1206,3.1885401
230,3.1876208
284,3.1855928
255,3.1835166
238,3.178654
1040,3.17551876
1032,3.171946
273,3.16846223
1066,3.16702364
210,3.16683286
1024,3.1609576
256,3.15910883
613,3.1589537
205,3.15640464
262,3.1491946
214,3.1478399
1048,3.14348897
1061,3.1411657
268,3.13944737
281,3.1389144
1035,3.1358824
605,3.1357387
295,3.1285372
1109,3.1271482
1236,3.1213877
1055,3.1161318
275,3.1160798
1049,3.1135306
233,3.1074746
261,3.1062657
222,3.1056549
1102,3.1043396
1057,3.10052446
215,3.1001556
224,3.0998358
1050,3.0997555
1120,3.099147
1058,3.0965239
1034,3.0956642
258,3.09039296
212,3.08628984
1059,3.08398493
1070,3.08250735
257,3.0818232
1030,3.0802239
1028,3.07944324
292,3.0742756
203,3.07058774
410,3.0692803
1038,3.06337836
1233,3.0611289
259,3.0561206
1121,3.0532508
1122,3.0502728
253,3.0445903
1056,3.0365483
1090,3.0331672
217,3.0327008
254,3.028766
1054,3.02861795
1039,3.0271715
1065,3.020621
1031,3.019493
1095,3.0189559
267,3.0143239
1051,3.01370695
220,3.0134536
274,3.01264924
1029,3.0116432
249,3.0066344
1023,3.0031533
221,2.9983374
263,2.9948634
1033,2.99282144
1052,2.9881998
1037,2.9855629
1041,2.9835389
1125,2.9801348
204,2.97865986
216,2.9756002
265,2.9741136
614,2.9735754
1026,2.96431636
219,2.96357074
607,2.96351
1036,2.96223745
1087,2.9618162
250,2.9597497
1232,2.9554068
248,2.9489616
264,2.9456404
1235,2.9399917
1241,2.93970433
1126,2.9365029
1230,2.9345678
218,2.93303077
1085,2.9322916
251,2.9248808
1086,2.9232044
1046,2.92229526
1025,2.9169208
260,2.9167803
413,2.9126042
1084,2.9099246
211,2.9002225
610,2.8991169
266,2.8954944
1068,2.8949351
1240,2.89354267
209,2.89271704
1074,2.8863958
1047,2.8829768
1078,2.88159046
1075,2.87367365
1067,2.87363096
1088,2.8692366
606,2.8533761
1042,2.85110983
1071,2.8494123
252,2.84788
1044,2.84106615
1239,2.83551337
1072,2.832375
1077,2.82737395
1210,2.8271519
1081,2.82284027
246,2.82267175
1080,2.8018157
1123,2.78670224
1083,2.7806983
1124,2.76429054
1076,2.7635657
1043,2.7531537
615,2.7424771
225,2.73858646
1089,2.7099079
1245,2.69385046
1082,2.67974653
414,2.67085645
415,2.6700152
416,2.66661236
1248,2.63847425
247,2.6286568
1073,2.6202498
1244,2.60722167
1243,2.5882493
611,2.54984556
1242,2.54297343
1079,2.45819356
624,2.4495467
1249,2.39339866
1246,2.38168465
1251,2.346411
427,2.33371683
1250,2.3223834
453,2.3194102
625,2.31226463
423,2.311093
749,2.2897598
612,2.28881306
