,state,q_values,importance
62,1055,"[ 0.44377372 -2.1304703  -1.5547513  -1.1589687   0.55439377  0.88746256
  0.48717836  0.9484522  -1.6001253 ]",0.060989639999999956
63,1056,"[ 0.35726744 -2.2926884  -1.71988    -1.3478332   0.5874227   0.9647669
  0.4470287   0.95097166 -1.8553697 ]",0.013795239999999986
64,1057,"[ 0.13721618 -1.8868966  -1.5236676  -1.073369    0.56114674  0.878491
  0.30261838  0.8453234  -1.4526639 ]",0.033167600000000075
65,1058,"[ 0.21640122 -2.0578098  -1.7094826  -1.3926227   0.6633304   0.8618922
  0.3487955   0.9151271  -1.7471087 ]",0.053234899999999974
66,1059,"[ 0.3094413 -2.279922  -1.788467  -1.4561217  0.7226859  0.9276243
  0.4671143  0.9881742 -1.9220494]",0.060549900000000045
67,106,"[ 1.9287742  -3.0928483  -3.1021914  -2.6480267  -0.1517562   1.7790593
  0.16532718 -1.5402776  -2.5844936 ]",0.1497149000000002
68,1060,"[ 0.28440762 -2.2244675  -1.6107906  -1.2580721   0.6555762   0.9494031
  0.36437955  1.024073   -1.6809871 ]",0.07466989999999996
69,1061,"[ 0.16777796 -2.3239536  -1.7183758  -1.4061007   0.6117158   0.9354268
  0.24694274  1.1311187  -1.8992734 ]",0.19569190000000003
70,1062,"[ 0.266552   -2.204726   -1.5463054  -1.2262256   0.48698646  0.86245525
  0.19366747  0.95676243 -1.580662  ]",0.09430718000000005
71,1063,"[ 0.3557325  -2.4023638  -1.7107015  -1.3967006   0.5442572   0.95480716
  0.2588558   0.9566326  -1.82863   ]",0.001825440000000067
72,1064,"[ 0.33165705 -2.466789   -1.7689276  -1.4712353   0.5917024   1.0138669
  0.30608612  1.0403497  -1.9888504 ]",0.026482799999999918
73,1065,"[ 0.33572367 -2.182102   -1.4847808  -1.2043395   0.5775474   0.8922937
  0.35656884  1.0561838  -1.6271722 ]",0.16389009999999993
74,1066,"[ 0.38856477 -2.1823769  -1.5080262  -1.173912    0.5894431   0.91532916
  0.3997268   1.0040773  -1.6192796 ]",0.08874814000000009
75,1067,"[ 0.42395145 -2.3414361  -1.6855828  -1.3432341   0.607229    0.9897502
  0.28727952  0.96208435 -1.7829034 ]",0.027665849999999992
76,1068,"[ 0.34088707 -2.2935784  -1.6720424  -1.2763216   0.59877294  0.9504667
  0.2362249   0.8706617  -1.7221222 ]",0.07980500000000001
